,bath,balcony,price
201,2.0,1.0,70.0
202,2.0,2.0,47.6
203,2.0,1.0,53.0
204,2.0,2.0,54.0
205,2.0,2.0,48.7
206,3.0,2.0,88.0
207,2.0,1.0,87.0
208,2.0,2.0,43.5
209,6.0,0.0,190.0
210,4.0,1.0,428.0
211,3.0,2.0,65.0
212,3.0,2.0,89.0
213,3.0,2.0,78.29
214,3.0,3.0,100.0
215,2.0,1.0,65.0
216,6.0,0.0,141.0
217,1.0,1.0,27.0
218,3.0,3.0,78.0
219,3.0,2.0,98.29
220,3.0,2.0,125.0
221,2.0,3.0,90.0
222,4.0,1.0,75.5
223,2.0,1.0,44.28
224,,,74.82
225,4.0,2.0,260.0
226,2.0,2.0,72.0
227,2.0,1.0,115.0
228,3.0,2.0,119.0
229,2.0,1.0,22.14
230,2.0,2.0,56.4
231,2.0,2.0,60.0
232,2.0,2.0,55.0
233,2.0,2.0,42.0
234,2.0,2.0,110.0
235,2.0,1.0,65.0
236,2.0,2.0,39.0
237,3.0,1.0,129.0
238,5.0,2.0,150.0
239,2.0,2.0,60.0
240,1.0,1.0,16.45
241,8.0,2.0,180.0
242,1.0,1.0,16.45
243,3.0,3.0,84.0
244,2.0,3.0,72.5
245,3.0,1.0,90.0
246,2.0,1.0,40.0
247,3.0,1.0,70.0
248,3.0,2.0,280.0
249,3.0,2.0,185.0
250,1.0,1.0,20.0
251,2.0,2.0,55.0
252,2.0,2.0,93.0
253,2.0,2.0,22.5
254,2.0,1.0,69.0
255,2.0,0.0,95.0
256,2.0,2.0,36.0
257,2.0,1.0,63.0
258,5.0,,170.0
259,3.0,2.0,170.0
260,3.0,2.0,300.0
261,3.0,2.0,75.5
262,2.0,2.0,43.9
263,2.0,1.0,59.9
264,2.0,2.0,49.2
265,4.0,0.0,52.8
266,3.0,2.0,46.0
267,2.0,2.0,61.58
268,1.0,1.0,26.0
269,3.0,2.0,120.0
270,2.0,1.0,32.0
271,3.0,2.0,131.0
272,2.0,1.0,45.0
273,2.0,1.0,110.0
274,2.0,3.0,73.95
275,3.0,2.0,132.0
276,2.0,1.0,80.9
277,4.0,2.0,250.0
278,3.0,3.0,91.45
279,3.0,3.0,55.0
280,2.0,1.0,34.5
281,2.0,1.0,100.0
282,6.0,0.0,250.0
283,3.0,1.0,78.8
284,2.0,1.0,46.0
285,2.0,2.0,94.0
286,2.0,1.0,40.0
287,2.0,2.0,56.0
288,2.0,2.0,50.0
289,2.0,2.0,25.88
290,2.0,1.0,51.25
291,2.0,2.0,44.0
292,2.0,2.0,45.0
293,2.0,1.0,98.2
294,2.0,1.0,50.0
295,2.0,3.0,75.0
296,3.0,1.0,98.0
297,2.0,2.0,47.0
298,4.0,0.0,120.0
299,3.0,1.0,140.0
300,3.0,2.0,104.0
301,2.0,1.0,29.5
302,2.0,1.0,70.0
303,3.0,0.0,100.0
304,3.0,2.0,105.0
305,2.0,3.0,45.0
306,1.0,1.0,26.0
307,3.0,2.0,95.0
308,4.0,3.0,65.0
309,3.0,3.0,150.0
310,2.0,3.0,100.0
311,3.0,3.0,115.0
312,2.0,1.0,55.55
313,3.0,3.0,67.0
314,2.0,2.0,46.5
315,5.0,2.0,180.0
316,2.0,2.0,27.0
317,2.0,2.0,75.0
318,2.0,2.0,52.0
319,2.0,1.0,51.0
320,2.0,1.0,83.09
321,2.0,1.0,65.0
322,2.0,2.0,128.0
323,4.0,3.0,165.0
324,3.0,2.0,415.0
325,4.0,1.0,400.0
326,3.0,2.0,56.0
327,2.0,2.0,55.0
328,2.0,2.0,52.0
329,2.0,1.0,55.0
330,3.0,2.0,95.0
331,2.0,1.0,67.0
332,4.0,2.0,198.0
333,2.0,2.0,74.0
334,3.0,2.0,215.0
335,2.0,1.0,58.0
336,2.0,2.0,45.0
337,6.0,2.0,230.0
338,3.0,3.0,64.0
339,2.0,0.0,79.0
340,2.0,3.0,48.0
341,2.0,2.0,40.0
342,2.0,2.0,76.0
343,3.0,1.0,150.0
344,,,21.53
345,2.0,2.0,65.0
346,2.0,0.0,140.0
347,3.0,1.0,49.36
348,3.0,0.0,150.0
349,3.0,2.0,74.0
350,2.0,1.0,43.25
351,2.0,1.0,77.0
352,3.0,2.0,75.0
353,2.0,3.0,57.0
354,1.0,1.0,28.35
355,3.0,2.0,365.0
356,3.0,1.0,125.0
357,2.0,2.0,50.0
358,5.0,3.0,335.0
359,2.0,1.0,50.0
360,2.0,2.0,89.04
361,3.0,0.0,90.0
362,4.0,2.0,230.0
363,1.0,1.0,18.5
364,2.0,1.0,52.0
365,1.0,0.0,11.66
366,2.0,3.0,66.0
367,2.0,2.0,60.0
368,2.0,2.0,39.0
369,2.0,1.0,60.0
370,5.0,2.0,212.0
371,2.0,2.0,55.0
372,2.0,1.0,65.0
373,3.0,2.0,275.0
374,2.0,2.0,46.8
375,2.0,1.0,108.0
376,3.0,2.0,110.0
377,1.0,0.0,29.9
378,3.0,2.0,95.0
379,3.0,0.0,77.0
380,3.0,2.0,115.0
381,2.0,,90.0
382,1.0,1.0,36.0
383,2.0,2.0,44.0
384,2.0,1.0,25.0
385,2.0,1.0,40.0
386,3.0,2.0,79.0
387,2.0,0.0,134.0
388,3.0,2.0,121.0
389,2.0,1.0,94.0
390,2.0,2.0,45.79
391,2.0,1.0,33.0
392,3.0,3.0,108.0
393,2.0,2.0,53.0
394,2.0,1.0,58.0
395,2.0,1.0,32.0
396,2.0,2.0,55.0
397,3.0,,120.0
398,2.0,1.0,120.0
399,3.0,1.0,45.0
400,3.0,2.0,161.0
401,4.0,1.0,230.0
402,2.0,1.0,65.0
403,4.0,1.0,175.0
404,2.0,1.0,82.0
405,2.0,0.0,165.0
406,2.0,0.0,125.0
407,3.0,2.0,410.0
408,6.0,3.0,2200.0
409,1.0,1.0,62.0
410,1.0,0.0,18.5
411,2.0,,38.0
412,2.0,1.0,38.0
413,7.0,3.0,250.0
414,3.0,3.0,64.5
415,3.0,2.0,88.0
416,2.0,2.0,62.0
417,3.0,2.0,150.0
418,2.0,1.0,55.0
419,2.0,2.0,31.48
420,2.0,0.0,60.0
421,4.0,2.0,103.0
422,2.0,1.0,26.5
423,2.0,1.0,75.0
424,2.0,2.0,67.0
425,5.0,3.0,85.0
426,3.0,2.0,79.0
427,2.0,2.0,55.0
428,2.0,1.0,55.0
429,3.0,2.0,140.0
430,2.0,0.0,69.0
431,2.0,3.0,69.0
432,2.0,2.0,47.12
433,2.0,2.0,48.1
434,8.0,,250.0
435,4.0,,240.0
436,3.0,2.0,55.0
437,3.0,2.0,68.29
438,1.0,1.0,40.0
439,4.0,3.0,110.0
440,4.0,3.0,700.0
441,2.0,1.0,76.0
442,2.0,1.0,95.0
443,2.0,3.0,57.0
444,3.0,2.0,100.0
445,2.0,1.0,71.0
446,2.0,2.0,95.0
447,1.0,1.0,34.65
448,3.0,2.0,135.0
449,3.0,2.0,78.0
450,2.0,1.0,55.47
451,3.0,2.0,252.0
452,2.0,1.0,74.03
453,4.0,2.0,200.0
454,2.0,2.0,55.0
455,4.0,3.0,325.0
456,2.0,2.0,30.35
457,3.0,2.0,98.0
458,2.0,1.0,46.96
459,9.0,3.0,360.0
460,3.0,0.0,120.0
461,2.0,1.0,35.23
462,2.0,1.0,30.0
463,2.0,2.0,63.0
464,2.0,2.0,50.0
465,2.0,2.0,126.0
466,2.0,2.0,130.0
467,3.0,3.0,110.0
468,2.0,1.0,54.0
469,4.0,2.0,220.0
470,2.0,0.0,95.0
471,2.0,1.0,40.0
472,4.0,1.0,230.0
473,2.0,1.0,42.16
474,2.0,1.0,165.0
475,2.0,1.0,98.0
476,2.0,1.0,62.0
477,4.0,,235.0
478,2.0,1.0,74.0
479,2.0,0.0,50.17
480,4.0,2.0,260.0
481,4.0,3.0,180.0
482,3.0,2.0,65.0
483,5.0,2.0,190.0
484,3.0,2.0,56.0
485,4.0,3.0,400.0
486,4.0,2.0,99.0
487,2.0,1.0,49.0
488,2.0,2.0,60.0
489,3.0,2.0,120.0
490,7.0,3.0,337.0
491,3.0,2.0,58.0
492,2.0,2.0,94.42
493,3.0,3.0,52.5
494,2.0,1.0,63.0
495,2.0,1.0,53.0
496,2.0,1.0,45.0
497,2.0,1.0,32.0
498,2.0,1.0,36.0
499,2.0,1.0,48.5
500,2.0,1.0,45.0
501,3.0,1.0,95.0
502,3.0,1.0,58.0
503,3.0,1.0,68.75
504,2.0,0.0,26.0
505,2.0,3.0,38.0
506,2.0,1.0,40.0
507,2.0,1.0,35.0
508,2.0,1.0,45.0
509,2.0,1.0,70.0
510,3.0,1.0,165.0
511,1.0,0.0,41.0
512,2.0,1.0,67.0
513,4.0,2.0,90.0
514,4.0,2.0,145.0
515,4.0,1.0,80.0
516,5.0,3.0,154.0
517,3.0,,65.0
518,5.0,1.0,275.0
519,2.0,2.0,48.0
520,3.0,2.0,115.0
521,2.0,2.0,110.0
522,3.0,2.0,125.0
523,2.0,1.0,70.0
524,6.0,1.0,465.0
525,2.0,2.0,42.74
526,2.0,0.0,85.0
527,2.0,1.0,25.0
528,4.0,,120.0
529,3.0,1.0,160.0
530,2.0,1.0,47.0
531,2.0,1.0,45.5
532,2.0,2.0,45.0
533,2.0,1.0,66.0
534,4.0,1.0,245.0
535,2.0,2.0,48.48
536,2.0,1.0,68.0
537,2.0,2.0,49.0
538,9.0,3.0,210.0
539,3.0,1.0,528.0
540,2.0,1.0,39.73
541,3.0,2.0,101.0
542,2.0,1.0,90.0
543,3.0,2.0,99.0
544,3.0,1.0,61.95
545,3.0,0.0,499.0
546,2.0,2.0,63.0
547,5.0,1.0,140.0
548,2.0,,50.0
549,2.0,0.0,63.77
550,5.0,2.0,260.0
551,2.0,2.0,53.67
552,2.0,2.0,54.0
553,2.0,2.0,42.0
554,6.0,0.0,145.0
555,1.0,1.0,80.0
556,2.0,1.0,40.0
557,1.0,1.0,27.25
558,2.0,1.0,25.0
559,4.0,3.0,175.0
560,2.0,1.0,80.0
561,1.0,1.0,33.32
562,2.0,2.0,50.0
563,3.0,1.0,160.0
564,2.0,1.0,28.15
565,3.0,1.0,84.0
566,4.0,1.0,300.0
567,3.0,3.0,100.0
568,3.0,2.0,86.0
569,2.0,1.0,55.0
570,4.0,3.0,315.0
571,3.0,2.0,125.0
572,2.0,1.0,69.3
573,4.0,3.0,225.0
574,3.0,,120.0
575,2.0,1.0,58.7
576,2.0,2.0,80.0
577,2.0,0.0,65.0
578,3.0,1.0,73.0
579,,,34.185
580,2.0,3.0,45.0
581,1.0,1.0,36.0
582,1.0,2.0,46.0
583,3.0,2.0,313.0
584,3.0,1.0,180.0
585,2.0,1.0,48.95
586,2.0,1.0,40.0
587,2.0,1.0,102.0
588,2.0,2.0,42.0
589,2.0,2.0,38.0
590,3.0,3.0,75.0
591,3.0,2.0,150.0
592,2.0,0.0,115.0
593,1.0,1.0,18.5
594,2.0,2.0,98.0
595,2.0,1.0,65.0
596,2.0,2.0,45.0
597,3.0,2.0,85.0
598,3.0,2.0,44.71
599,2.0,3.0,85.0
600,3.0,1.0,223.0
601,1.0,0.0,90.0
602,1.0,1.0,60.0
603,4.0,1.0,70.0
604,3.0,2.0,140.0
605,7.0,3.0,2200.0
606,2.0,1.0,25.0
607,2.0,1.0,49.07
608,2.0,1.0,37.0
609,5.0,2.0,260.0
610,5.0,2.0,425.0
611,2.0,2.0,55.0
612,2.0,2.0,45.8
613,2.0,2.0,40.0
614,4.0,2.0,150.0
615,5.0,1.0,250.0
616,2.0,1.0,42.0
617,4.0,1.0,70.0
618,4.0,2.0,360.0
619,3.0,,100.0
620,3.0,2.0,134.0
621,2.0,2.0,95.0
622,3.0,2.0,95.0
623,1.0,1.0,36.0
624,3.0,3.0,95.0
625,3.0,3.0,100.0
626,3.0,2.0,60.0
627,2.0,2.0,49.0
628,2.0,1.0,85.0
629,3.0,2.0,70.0
630,1.0,,56.0
631,3.0,2.0,160.0
632,2.0,2.0,50.0
633,1.0,0.0,25.0
634,4.0,3.0,250.0
635,2.0,1.0,29.0
636,2.0,3.0,86.0
637,2.0,3.0,65.0
638,4.0,1.0,160.0
639,5.0,2.0,325.0
640,2.0,2.0,48.0
641,3.0,1.0,660.0
642,2.0,3.0,52.8
643,1.0,2.0,40.0
644,2.0,3.0,80.0
645,2.0,2.0,47.0
646,2.0,2.0,62.0
647,2.0,2.0,52.2
648,9.0,,265.0
649,3.0,1.0,262.0
650,2.0,1.0,60.0
651,3.0,1.0,150.0
652,2.0,1.0,35.23
653,2.0,2.0,58.0
654,2.0,1.0,58.0
655,3.0,2.0,46.0
656,5.0,,260.0
657,3.0,2.0,66.0
658,2.0,1.0,45.0
659,2.0,1.0,67.39
660,3.0,3.0,78.0
661,2.0,0.0,48.13
662,2.0,1.0,45.98
663,4.0,2.0,200.0
664,2.0,1.0,45.0
665,3.0,2.0,130.0
666,2.0,2.0,200.0
667,2.0,2.0,38.55
668,3.0,2.0,108.0
669,,,375.0
670,2.0,0.0,70.0
671,3.0,0.0,77.0
672,4.0,0.0,445.0
673,2.0,2.0,78.34
674,3.0,3.0,130.0
675,2.0,2.0,115.0
676,1.0,0.0,50.0
677,7.0,,150.0
678,2.0,1.0,120.0
679,5.0,0.0,100.0
680,2.0,2.0,57.0
681,4.0,2.0,375.0
682,2.0,2.0,49.85
683,3.0,2.0,165.0
684,3.0,2.0,40.0
685,3.0,2.0,140.0
686,2.0,1.0,56.0
687,3.0,1.0,109.0
688,3.0,,83.3
689,4.0,2.0,111.0
690,3.0,0.0,58.0
691,2.0,2.0,61.75
692,2.0,1.0,55.0
693,3.0,3.0,120.0
694,2.0,2.0,60.0
695,3.0,1.0,120.0
696,2.0,,43.48
697,3.0,1.0,139.0
698,2.0,1.0,40.39
699,2.0,1.0,87.0
700,2.0,1.0,32.49
701,2.0,1.0,44.0
702,,,548.5
703,3.0,3.0,76.0
704,2.0,1.0,98.5
705,2.0,1.0,28.34
706,3.0,1.0,159.0
707,2.0,2.0,25.53
708,2.0,2.0,24.5
709,2.0,0.0,45.0
710,2.0,1.0,82.0
711,2.0,2.0,32.0
712,3.0,2.0,160.0
713,2.0,3.0,54.0
714,4.0,2.0,91.0
715,3.0,2.0,62.0
716,2.0,2.0,82.0
717,2.0,2.0,40.61
718,2.0,1.0,71.0
719,3.0,1.0,225.0
720,2.0,1.0,90.0
721,3.0,2.0,100.0
722,2.0,2.0,42.0
723,2.0,2.0,57.0
724,3.0,1.0,57.0
725,3.0,2.0,85.0
726,2.0,2.0,125.0
727,4.0,2.0,160.0
728,4.0,0.0,220.0
729,2.0,1.0,48.0
730,2.0,1.0,53.0
731,2.0,3.0,62.5
732,3.0,1.0,118.0
733,2.0,1.0,52.0
734,2.0,2.0,47.0
735,2.0,1.0,52.04
736,5.0,1.0,500.0
737,2.0,2.0,37.64
738,2.0,3.0,66.0
739,3.0,2.0,162.0
740,2.0,2.0,35.0
741,1.0,0.0,20.03
742,2.0,3.0,59.95
743,4.0,3.0,1250.0
744,2.0,1.0,22.0
745,2.0,0.0,48.0
746,2.0,3.0,52.0
747,1.0,1.0,60.0
748,2.0,1.0,140.0
749,5.0,2.0,550.0
750,4.0,2.0,126.0
751,2.0,1.0,97.0
752,2.0,1.0,77.0
753,4.0,0.0,98.88
754,2.0,2.0,43.51
755,3.0,2.0,85.0
756,2.0,1.0,53.5
757,4.0,1.0,160.0
758,2.0,3.0,36.0
759,4.0,2.0,155.0
760,2.0,2.0,39.0
761,2.0,0.0,45.0
762,2.0,1.0,55.0
763,1.0,1.0,36.85
764,2.0,1.0,55.0
765,2.0,2.0,110.0
766,2.0,1.0,57.99
767,4.0,1.0,90.0
768,3.0,2.0,130.0
769,2.0,1.0,67.0
770,9.0,3.0,190.0
771,2.0,1.0,30.0
772,2.0,0.0,59.935
773,3.0,2.0,89.61
774,2.0,2.0,58.0
775,2.0,1.0,93.0
776,3.0,2.0,60.0
777,2.0,2.0,150.0
778,3.0,1.0,203.0
779,3.0,3.0,150.0
780,2.0,1.0,33.0
781,2.0,1.0,41.0
782,1.0,0.0,28.0
783,7.0,,76.0
784,3.0,2.0,75.0
785,3.0,3.0,82.5
786,2.0,0.0,65.0
787,3.0,2.0,152.0
788,4.0,0.0,90.0
789,4.0,3.0,65.0
790,2.0,1.0,59.13
791,2.0,1.0,66.02
792,2.0,2.0,83.0
793,2.0,2.0,52.0
794,2.0,2.0,300.0
795,2.0,2.0,77.0
796,2.0,1.0,63.0
797,2.0,1.0,41.0
798,2.0,2.0,42.6
799,3.0,2.0,112.0
800,3.0,2.0,59.76
801,,,453.0
802,2.0,1.0,61.0
803,2.0,0.0,46.0
804,2.0,1.0,40.0
805,2.0,0.0,75.0
806,2.0,0.0,62.0
807,3.0,1.0,59.0
808,3.0,0.0,135.0
809,3.0,3.0,99.0
810,4.0,1.0,80.0
811,4.0,3.0,111.0
812,2.0,1.0,67.3
813,2.0,1.0,42.79
814,2.0,1.0,84.0
815,2.0,2.0,27.68
816,1.0,2.0,33.0
817,2.0,1.0,98.0
818,3.0,1.0,83.3
819,3.0,3.0,195.0
820,2.0,1.0,38.13
821,3.0,1.0,84.83
822,2.0,1.0,34.9
823,4.0,3.0,300.0
824,2.0,1.0,50.49
825,4.0,0.0,130.0
826,3.0,1.0,90.0
827,3.0,2.0,95.0
828,3.0,2.0,75.0
829,1.0,1.0,30.0
830,2.0,1.0,83.0
831,2.0,1.0,39.0
832,2.0,1.0,100.0
833,1.0,0.0,15.0
834,2.0,2.0,40.0
835,2.0,2.0,45.0
836,2.0,1.0,68.75
837,2.0,2.0,57.0
838,6.0,1.0,69.0
839,2.0,1.0,150.0
840,3.0,2.0,660.0
841,2.0,3.0,75.0
842,2.0,3.0,55.0
843,2.0,1.0,39.52
844,2.0,2.0,58.0
845,3.0,,95.0
846,3.0,2.0,113.0
847,3.0,2.0,36.0
848,3.0,2.0,194.0
849,3.0,2.0,43.5
850,2.0,0.0,58.935
851,3.0,2.0,86.58
852,3.0,,94.0
853,2.0,2.0,70.0
854,3.0,1.0,184.0
855,4.0,,600.0
856,3.0,2.0,82.0
857,4.0,1.0,72.0
858,2.0,2.0,92.0
859,2.0,1.0,27.24
860,4.0,2.0,125.0
861,4.0,1.0,640.0
862,2.0,2.0,51.47
863,2.0,2.0,52.0
864,2.0,1.0,41.0
865,2.0,1.0,41.1
866,3.0,2.0,80.0
867,2.0,2.0,57.0
868,2.0,1.0,46.55
869,2.0,1.0,73.3
870,2.0,1.0,67.0
871,3.0,0.0,65.0
872,2.0,,45.0
873,2.0,1.0,49.39
874,2.0,1.0,50.0
875,3.0,2.0,85.0
876,4.0,2.0,142.0
877,2.0,,95.0
878,2.0,1.0,71.0
879,2.0,2.0,60.0
880,2.0,0.0,40.0
881,2.0,2.0,95.0
882,1.0,1.0,40.0
883,3.0,2.0,58.0
884,3.0,0.0,95.0
885,6.0,2.0,115.0
886,1.0,0.0,15.135
887,2.0,2.0,25.88
888,5.0,2.0,240.0
889,5.0,1.0,415.0
890,2.0,3.0,66.0
891,2.0,1.0,28.0
892,2.0,0.0,66.0
893,2.0,0.0,37.0
894,2.0,1.0,69.0
895,2.0,3.0,51.91
896,2.0,1.0,42.79
897,2.0,3.0,80.0
898,1.0,1.0,70.0
899,3.0,2.0,130.0
900,2.0,1.0,55.78
901,3.0,2.0,125.0
902,2.0,1.0,65.0
903,3.0,2.0,120.0
904,1.0,1.0,30.0
905,1.0,1.0,26.0
906,1.0,1.0,17.0
907,3.0,1.0,150.0
908,1.0,0.0,233.0
909,3.0,1.0,140.0
910,2.0,1.0,69.0
911,4.0,3.0,239.0
912,2.0,1.0,125.0
913,2.0,0.0,200.0
914,2.0,2.0,52.0
915,2.0,3.0,52.0
916,3.0,,110.0
917,2.0,3.0,53.0
918,1.0,0.0,200.0
919,2.0,1.0,45.0
920,3.0,2.0,107.0
921,2.0,1.0,57.5
922,2.0,2.0,33.03
923,4.0,,180.0
924,2.0,1.0,54.0
925,2.0,0.0,80.0
926,3.0,2.0,55.0
927,2.0,0.0,43.415
928,5.0,2.0,423.0
929,1.0,0.0,58.0
930,2.0,1.0,98.89
931,2.0,2.0,49.86
932,4.0,2.0,130.0
933,2.0,2.0,39.73
934,3.0,2.0,150.0
935,5.0,2.0,247.0
936,4.0,3.0,250.0
937,3.0,1.0,330.0
938,11.0,,290.0
939,4.0,3.0,187.0
940,3.0,3.0,90.0
941,,,304.0
942,1.0,1.0,11.0
943,2.0,1.0,82.0
944,2.0,2.0,87.0
945,2.0,1.0,45.9
946,3.0,1.0,155.0
947,2.0,1.0,79.5
948,4.0,1.0,240.0
949,2.0,2.0,64.44
950,5.0,2.0,425.0
951,2.0,2.0,95.0
952,2.0,2.0,95.0
953,5.0,,270.0
954,3.0,0.0,50.0
955,3.0,1.0,80.0
956,4.0,,72.0
957,2.0,2.0,55.79
958,1.0,1.0,110.0
959,1.0,0.0,18.41
960,3.0,1.0,33.28
961,4.0,0.0,95.0
962,1.0,1.0,115.0
963,2.0,3.0,68.0
964,2.0,1.0,35.14
965,3.0,3.0,200.0
966,2.0,1.0,42.0
967,2.0,1.0,55.0
968,2.0,1.0,48.45
969,3.0,2.0,65.99
970,1.0,1.0,20.0
971,3.0,2.0,56.0
972,2.0,3.0,80.0
973,2.0,2.0,50.0
974,2.0,2.0,47.0
975,2.0,1.0,62.0
976,4.0,2.0,225.0
977,4.0,3.0,240.0
978,2.0,0.0,42.0
979,2.0,2.0,71.55
980,2.0,3.0,31.0
981,2.0,1.0,86.51
982,2.0,2.0,52.07
983,3.0,2.0,100.0
984,2.0,1.0,49.98
985,2.0,1.0,56.5
986,2.0,2.0,75.0
987,3.0,1.0,109.0
988,2.0,0.0,27.0
989,2.0,1.0,55.15
990,1.0,0.0,17.535
991,6.0,3.0,125.0
992,4.0,2.0,90.0
993,1.0,1.0,36.85
994,2.0,1.0,73.5
995,2.0,2.0,80.0
996,1.0,0.0,20.0
997,3.0,1.0,56.12
998,2.0,2.0,67.0
999,4.0,2.0,145.0
1000,1.0,1.0,22.0
1001,3.0,2.0,100.0
1002,2.0,2.0,93.0
1003,2.0,2.0,49.0
1004,3.0,2.0,89.5
1005,3.0,3.0,66.0
1006,2.0,1.0,40.43
1007,2.0,2.0,67.0
1008,2.0,1.0,82.0
1009,2.0,1.0,44.5
